c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
2493,Customer#000002493,vRPteZtcyV,26,29-869-316-1166,-687.0549424862564,AUTOMOBILE,ckly permanent accounts wake fluffily regular packages. quickly express foxes cajole. carefully ironic packa
2494,Customer#000002494,OEJ7AElvHgEtDpjcrXgLK,27,24-979-584-7928,946.5255740940544,HOUSEHOLD,ronic somas. accounts was among the carefully unusual requests. unusual pinto beans are blithely regular depths. s
2495,Customer#000002495,8ufZxZ5IgwGrUM2CWfxYoRHuBi Vj8rY,17,27-350-836-5521,7644.148001336705,HOUSEHOLD, excuses are slyly after the carefully bold accounts. unusual pinto beans boost. final accounts wak
2496,Customer#000002496,G vBMGVmIOHl7tc4HeNMiMkKY,15,25-960-809-3690,96.86915160846702,BUILDING,tions. quietly unusual accounts sleep blithely afte
2497,Customer#000002497,HuoOuJLxx7S8YDQhexfmIX,0,10-109-430-5638,1209.2286522401678,AUTOMOBILE,l requests are against the slyly ironic pinto beans. blithely unusual packages wake alongsid
2498,Customer#000002498, QD7s2P6QpCC6g9t2aVzKg7y,19,29-213-663-3342,543.5667675744975,MACHINERY,ly alongside of the quickly blithe ideas. quickly ironic accounts haggle regul
2499,Customer#000002499,"IX1uj4NFhOmu0V xDtiYzHVzWfi8bl,5EHtJ",48,11-731-806-1019,4104.937676271147,FURNITURE,"above the quickly pending requests nag final, ex"
2500,Customer#000002500,Th5XO5ImeCe9nHFQfQMCkNcmf5WHSeYQaR5TJ,41,12-594-534-9654,8242.389742403284,FURNITURE,"rding to the furiously unusual accounts. express, express accounts nag furiously. ide"
2501,Customer#000002501,te2FOn8xJzJinZc,7,17-297-684-7972,-119.61825817566717,AUTOMOBILE,nic deposits. evenly pending deposits boost fluffily careful
2502,Customer#000002502,JvbSKX7RG3xuqiKQ93C,17,27-972-408-3265,5908.336555993401,AUTOMOBILE,"l, even theodolites. carefully bold accounts sleep about the sly"
2503,Customer#000002503,VmFhpV9 aIqPysMHRIWZl,15,25-391-998-4106,1624.1445215689519,MACHINERY,gular accounts. thin platelets promise fluffily. carefully express accounts haggle quickly qu
2504,Customer#000002504,Sbvjxgmwy4u6Ks1FH7lxo7toMmeU5dG,44,11-243-298-4029,7776.860465106364,BUILDING,bold accounts haggle furiously even deposits. regular instruct
2505,Customer#000002505,98nP31ToAGK tCCkYm7HqBZt0dLjy0JzlMMRCmkj,4,14-787-370-8722,305.66609691549183,BUILDING,c pinto beans. quickly even requests haggle against the blithel
2506,Customer#000002506,oDBFWKIP6M6OlYRPmqCBkVpVSj6uFa,41,12-905-464-3299,652.065735049506,HOUSEHOLD,". ironic, pending frets haggle carefully. ironic,"
2507,Customer#000002507,"q5,Og3ezW3jSUtbwK 6qLJPqPwCwdL",0,10-386-173-3167,1220.476255445177,MACHINERY,s against the quickly unusual ideas are blithely packages. accounts sleep quickly. regular
2508,Customer#000002508,"sKZz0CsnMD7mp4Xd0YrBvx,LREYKUWAh yVn",49,30-114-968-4951,8414.663077413126,AUTOMOBILE,tions. even deposits boost according to the slyly bold packages. final accounts cajole requests. furious
2509,Customer#000002509,cuwz2Yvj VKYEXjZzfL,35,20-502-685-6183,4458.735825315014,FURNITURE,heodolites after the quickly bold deposits wake according to the regular platelets. ca
2510,Customer#000002510,IcbihAtOVWcnswfyE,28,20-489-960-5023,9607.18601910253,FURNITURE," accounts cajole quickly above the blithely final packages. even, express package"
2511,Customer#000002511,"Dh 6jZ,cwxWLKQfRKkiGrzv6pm",32,28-247-803-9025,6836.277541200597,AUTOMOBILE," instructions cajole even, even deposits. finally bold deposits use above the even pains. slyl"
2512,Customer#000002512,XxVSJsLAGtn,4,14-128-190-5944,2404.0689981091955,MACHINERY," requests. final, regular ideas sleep final accou"
2513,Customer#000002513,"gogI8kweD 2H6U,01lbIp0UWUwljSue,KRcC",2,12-177-329-4316,5733.29577348956,HOUSEHOLD,ptotes. silent requests cajole fluffily along the slyly permanent ideas. pending instr
2514,Customer#000002514,OVnFuHygK9wx3xpg8,32,28-639-943-7051,3960.2328860622965,AUTOMOBILE,uick packages alongside of the furiously final deposits haggle above the fluffily even foxes. blithely dogged dep
2515,Customer#000002515,XJ94RTR2oXI omeh,4,14-127-261-7876,1657.6207209152976,FURNITURE,pinto beans. asymptotes about the slowly even theodolites are pending requests
2516,Customer#000002516,"2GuRx4pOLEQWU7fJOa, DYiK8IuMsXRLO5D 0",34,20-916-264-7594,-633.760772556295,FURNITURE,slyly final theodolites are across the carefully 
2517,Customer#000002517,JnzDRxqCwjRPyeq70wrxzKWLXI,22,32-838-393-6825,3922.544315077168,BUILDING, blithely final instructions grow furiously ironic requests. furiously special theodolites sleep after 
2518,Customer#000002518,ratVLdmp070,8,18-676-218-1058,9911.1670285199,FURNITURE,al pinto beans. carefully ironic foxes cajole idly finally express theodolites. fluff
2519,Customer#000002519,tDRaTC7UgFbBX7VF6cVXYQA0,8,18-807-487-1074,10021.902867680014,FURNITURE,"s lose blithely ironic, regular packages. regular, final foxes haggle c"
2520,Customer#000002520,mksKhdWuQ1pjbc4yffHp8rRmLOMcJ,16,26-597-636-3003,6858.972693181604,HOUSEHOLD,"quickly across the fluffily dogged requests. regular platelets around the ironic, even requests cajole quickl"
2521,Customer#000002521,oR9VbMI LkR2GUv4MRmylhb,36,33-645-447-3944,5068.356943725356,HOUSEHOLD,"haggle carefully. pending, bold foxes play carefully ironic frets: slyly unusual ins"
2522,Customer#000002522,9qLvF42uxUarKl4I 2pEKOMNJmo8Ro5EK,19,29-500-408-6392,-402.9413261435501,AUTOMOBILE,hins boost quickly. quickly regular epitaphs haggle fluffily quickly bold pinto beans. regular
2523,Customer#000002523,"ovOZcFGL31uxmA2ifIYudX6OuwNDz,B",7,17-306-898-9363,5437.548503236172,MACHINERY,unts wake slyly excuses. bravely even pinto beans across the furiously final de
2524,Customer#000002524,KgVnjN7Y4HCN5f97HEUp7kYNNTrE3 O,11,21-448-313-4374,-1051.7369667969351,FURNITURE,ely ironic packages. blithely regular foxes sublate furiously. special requests boost furiously agains
2525,Customer#000002525,2sPwjFNEFf9dN4az,11,21-424-586-6295,9707.69316931648,AUTOMOBILE,ounts use blithely. blithely pending packages use ironic deposits. final accounts boost slyly. care
2526,Customer#000002526,"Aue7KVz,FinSHpov Vk5ed,wSQ2BRSioJ0",9,19-443-196-8008,900.0294783886005,BUILDING,s pinto beans use thinly slyly regular packages. instructions print along the s
2527,Customer#000002527,6qS1ZDpAYr9aED9Yh ggf8ACJcPi7sp,7,17-415-957-9976,7524.162014118064,AUTOMOBILE,"t the busy courts sleep quietly above the ideas. final accounts after the regular, ironic pl"
2528,Customer#000002528,nWDOTh6X019pfBtV3ikACYZiMjGykLrFnuyAo2,2,12-447-614-7494,2147.8080279331143,HOUSEHOLD,ckey players. carefully ironic a
2529,Customer#000002529,V15TQAhSLp7YC3KdjuMwSV3cwg0lp,32,28-749-743-6583,1617.5109381129932,MACHINERY,lieve carefully ironic hockey players. special ide
2530,Customer#000002530,b7ytiiX7E9,16,26-191-682-8920,3041.6429426947993,AUTOMOBILE,doze slyly. furiously pending deposits cajole fluffily carefully pending packages. boldly regular
2531,Customer#000002531,rayz3tXswDbL4hyIr5SMrEIOTqvmok48e,12,22-181-313-6281,8730.963718702244,FURNITURE,press deposits-- fluffily express accounts cajole carefully according to the daringly even deposits-- furi
2532,Customer#000002532,dF80enl1y5MfccEMqYz0JSY,5,15-316-638-4703,3885.180320114163,AUTOMOBILE,s. bold accounts about the carefully final packages detect slyly pending platele
2533,Customer#000002533,2HFk1E0fmqs,13,23-979-183-7021,8784.472918093968,AUTOMOBILE,"ages boost among the special foxes. quiet, final foxes lose carefully about the furiously unusual th"
2534,Customer#000002534,xwWO3lWjgVJTZwhnltyH6zj5ddkzgH8RbF,15,25-875-978-2232,1574.8909043440442,MACHINERY,usly regular deposits kindle. quickly even depos
2535,Customer#000002535,"eaOl5UBXIvdY57rglaIzqvfPD,MYfK",12,22-302-930-4756,3243.0351831000635,BUILDING,usly regular theodolites boost furiously doggedly pending instructio
2536,Customer#000002536,"XRqEPiKgcETII,iOLDZp5jA",4,14-273-885-6505,9968.718868996653,MACHINERY,ies detect slyly ironic accounts. slyly ironic theodolites hag
2537,Customer#000002537,"A3ACFoVbP,gPe xknVJMWC,wmRxb Nmg fWFS,UP",29,17-395-429-6655,4765.095058475469,AUTOMOBILE,al accounts cajole carefully across the accounts. furiously pending pinto beans across the 
2538,Customer#000002538,"IVhzIApeRb ot,c,E",15,25-989-741-2988,1676.7695856314047,BUILDING,"to the even, regular platelets. regular, ironic epitaphs nag e"
2539,Customer#000002539,QxCzH7VxxYUWwfL7,16,26-603-491-1238,7125.347846962572,BUILDING,sly across the furiously even 
2540,Customer#000002540,"Ip,OhnmOeHu9PezZBvw7AHJcBDOWVoVUJKsJyA",16,26-416-434-3449,666.3505644350137,AUTOMOBILE," nag slyly. final deposits sleep along the ironic, bold i"
2541,Customer#000002541,pO8rWSwK j,12,22-358-857-3698,6005.117523403379,MACHINERY,"ing requests. furiously regular accounts hinder slyly. final, regular theodolites against the slyly quiet requests"
2542,Customer#000002542,3ElvBwudHKL02732YexGVFVt ,9,19-140-352-1403,7651.499269493033,MACHINERY,"nstructions. quickly ironic ideas are carefully. bold, "
2543,Customer#000002543,fIq5p0GpDtw6FIsPMdbqNYgfSw3gL9ep,13,23-125-871-9246,6661.761533228934,AUTOMOBILE,deposits above the deposits wake bold instructions. special accounts cajole. ideas along the regu
2544,Customer#000002544,kwh9i86Wj1Zq14nwTdhxapIkLEI,5,15-907-674-2046,3390.768388192376,HOUSEHOLD,furiously unusual instructions. s
2545,Customer#000002545,A1hnMyYPSkXf7QgOPD2H,4,14-209-883-5797,4970.898107333884,AUTOMOBILE, sometimes regular epitaphs. furiously regular gifts against
2546,Customer#000002546,"xH61m,Si5X4REvi",38,13-489-760-5455,454.0768635420956,HOUSEHOLD,"nt deposits. final, unusual requests use blithely. slyly unusual packages against the carefully bol"
2547,Customer#000002547,6LrEaV6KR6PLVcgl2ArL Q3rqzLzcT1 v2,5,15-741-346-9870,3208.8353830883907,HOUSEHOLD,es regular deposits haggle. fur
2548,Customer#000002548,dXkVi8qahjP,12,22-494-898-7855,6288.0258135682325,AUTOMOBILE,he special instructions integrate carefully final request
2549,Customer#000002549,KwgdKUL1G2WacsMNF50yX,33,32-178-964-1847,1351.78696734996,MACHINERY,"losely regular, unusual instructions. "
2550,Customer#000002550,"JrvrIEzAre,VJzJCi3SEmib1T2,YVXVvOGxaVZwR",3,13-265-738-4361,7728.7810487525,AUTOMOBILE,s haggle around the special dependencies. slyly regular requests are according to the idly sly ideas! fluffily final
2551,Customer#000002551,nsXQu0oVjD7PM659uC3SRSp,3,13-761-547-5974,3648.418199438632,BUILDING,ounts sleep carefully after the close frays. carefully bold notornis use ironic requests. blithely
2552,Customer#000002552,8DbtM3KloBZ4OO1dRrF99,30,30-904-936-4914,3399.1644824774544,BUILDING,efully final packages use. slyly pend
2553,Customer#000002553,"g3,8g XHACSvjZtJuiNk5BYiyPFnIxg",20,30-114-675-9153,8132.2001985677325,FURNITURE,special requests! express dugouts can affix furiously blithely regular platelets. fu
2554,Customer#000002554,WtCLJBdycxFOsHyv,32,28-393-594-5247,8461.064952605911,AUTOMOBILE,accounts. blithely pending foxes wake among the carefully express forges. quickly ironic realms wake bl
2555,Customer#000002555,67r6XnIxUVgAc3pRX8tmGOw,11,21-106-357-8302,-1314.7991773360004,BUILDING,ans. fluffily unusual instructions haggle about the slyly ironic platelets. never regular pinto beans sleep fl
2556,Customer#000002556,gEkI8kSq8RYgO6tiTA0AB7urZX8s2w03JGwtMi9,18,28-808-670-2983,138.74460807844088,BUILDING,"nal theodolites. dogged, ironic deposits wake carefully. slyly regular requests after the furiously ironic "
2557,Customer#000002557,27adTXaVp7araW,43,30-765-163-9750,9331.07237579324,AUTOMOBILE,pinto beans; furiously special platelets haggle quickly against the slyly unusual foxes. 
2558,Customer#000002558,"VS0fia,lJ RvUf68 l4Unv,Vx",13,23-121-746-7339,5995.88929723979,BUILDING,gular foxes! permanently regular packages wake. quickly regular deposits detect blithely. carefully express
2559,Customer#000002559,qtBPSM2NvmJXNePBT Ap3M6UqIZTvaF,35,20-959-383-4792,6738.263017223766,HOUSEHOLD,ickly about the sly foxes. furiously bold patterns sleep regularly across
2560,Customer#000002560,ER5vABifV766q5f0FN7l2eN7MIg2lO,43,30-789-716-6850,3937.5608174444374,AUTOMOBILE, pinto beans maintain slyly even instructions. regular acc
2561,Customer#000002561,PtJQn0IjYtShb1f2uYTYBnnmUeGNiwcALU,0,10-229-548-7118,9423.702221379477,HOUSEHOLD,"nding requests. special, bold instruction"
2562,Customer#000002562,"kcW,mM0rhIstAcVaol1,6DVkS FPKlhY",27,24-808-967-4503,5114.164171266014,AUTOMOBILE,te slyly along the requests. carefully final requests sleep slyly blithe frets. furiously ruthless dep
2563,Customer#000002563,OPN1N7t4aQ23TnCpc,4,14-947-291-5002,-291.18238701643554,BUILDING,"fully busily special ideas. carefully final excuses lose slyly carefully express accounts. even, ironic platelets ar"
2564,Customer#000002564,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,3629.9484708452183,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly 
2565,Customer#000002565,ZjY1C b6cOnY3,39,17-202-113-4814,4538.768127506707,BUILDING,nts sleep around the carefully express theodolites. requests nag 
2566,Customer#000002566, QD7s2P6QpCC6g9t2aVzKg7y,19,29-213-663-3342,-277.8213776801143,MACHINERY,ly alongside of the quickly blithe ideas. quickly ironic accounts haggle regul
2567,Customer#000002567,"ex9SkK7K uM,ki1dsO7PgZLlIuQFKJUQZpD2oS",17,27-988-546-2598,631.7265936930728,FURNITURE,"ic requests haggle quickly across the deposits. regular, express ideas along the"
2568,Customer#000002568,sbWV6FIPas6C0puqgnKUI,48,11-861-303-6887,1375.9513154589577,HOUSEHOLD,press along the quickly regular instructions. regular requests against the carefully ironic s
2569,Customer#000002569,8gman6hzpuKUsX7mKU9katXpP1ia,15,25-116-108-3791,6327.491268218127,MACHINERY,"lent, final accounts cajole fluffily special requests. deposits around the fluffily even packages "
2570,Customer#000002570,95XSwEZD22AZln3RB,5,15-307-682-9911,2379.2900462192238,AUTOMOBILE,"after the furiously ironic foxes cajole slyly unusual, pending reques"
2571,Customer#000002571,WSptkDdGQQyJ6,19,29-992-318-6425,-38.011082253861346,MACHINERY,s boost furiously slyly final dependencies! fluffily regular sheaves nag fluffily. slyly even courts sleep sl
2572,Customer#000002572,fAfmAacTlPc,13,23-959-476-7310,252.71030435016564,FURNITURE,ckages cajole slyly even requests. express 
2573,Customer#000002573,XFnr9C2bANXL,25,16-375-385-5712,-1360.9584920151394,AUTOMOBILE,"lithely ironic, silent forges. furious"
2574,Customer#000002574,2rEfA2LR6LkUXjoMxIsv58YSHPMjlqr1YXhHSX,48,11-900-587-2067,1049.4511640337419,BUILDING,efully regular deposits. bravely ironi
2575,Customer#000002575,",rdHVwNKXKAgREU",39,17-241-806-3530,9121.60385541221,AUTOMOBILE,ldly final instructions mold carefully along the ironic accounts.
2576,Customer#000002576,wW2OgnHj6dBz tO9OXFqCLm,4,14-670-423-7529,-764.5401932545863,HOUSEHOLD,"sleep slyly ironic, express ideas. slyly special packag"
2577,Customer#000002577,5J941XxxkE,28,20-941-614-6433,865.5740085355378,AUTOMOBILE,"refully bold packages. final, regular pa"
2578,Customer#000002578,"fm8t3X05Wm,PQxPSPHZy,rHI,wUBLTFO5S ",16,26-923-317-3870,3667.2801442140717,FURNITURE,"ts. accounts after the even pinto beans boost across the ironic, silent accounts. reques"
2579,Customer#000002579,rbnZCbJSTE3qWLl,34,20-746-804-1553,4596.867241646291,HOUSEHOLD,"enticingly express platelets wake. regular requests boost even, regular instructions. express dependencies a"
2580,Customer#000002580,KvpyuHCplrB84WgAiGV6sYpZq7Tj,3,13-750-942-6364,1607.9139400083207,HOUSEHOLD,n accounts will have to unwind. foxes cajole accor
2581,Customer#000002581,H9HRTaOz4yI9elrUUiS,9,19-678-843-9850,741.0384500652333,FURNITURE,cross the final packages. blithely ironic excuses serve slyly about the final accounts. fluffily
2582,Customer#000002582,",ql804gtMc3uxTfP,lt4yRBWQ",12,22-458-624-2509,9094.997041865168,HOUSEHOLD,tes are blithely carefully bold pac
2583,Customer#000002583,"HBOta,ZNqpg3U2cSL0kbrftkPwzX",9,19-960-700-9191,7831.254291927692,FURNITURE,ests. blithely bold pinto beans h
2584,Customer#000002584,V15TQAhSLp7YC3KdjuMwSV3cwg0lp,32,28-749-743-6583,840.1548721196248,MACHINERY,lieve carefully ironic hockey players. special ide
2585,Customer#000002585,ratVLdmp070,8,18-676-218-1058,10278.035929753763,FURNITURE,al pinto beans. carefully ironic foxes cajole idly finally express theodolites. fluff
2586,Customer#000002586,QM5YabAsTLp9,4,14-692-150-9717,466.4197114155883,HOUSEHOLD,uickly carefully special theodolites. carefully regular requests against the blithely unusual instructions 
2587,Customer#000002587,"P3 Dv,6yllTNmL9yt6NUZZPZjvM2coWJd",44,11-104-635-9839,9601.387084410851,BUILDING,ly according to the unusual foxes. carefully ironic accounts haggle accounts-- regular dolphins will integ
2588,Customer#000002588,2Ge 0Nk29FlBs1GuBiY84sLvn38mEkAKnM,0,10-333-463-4472,1614.3966809082963,MACHINERY,"requests. slyly final instructions sleep. fluffily even packages cajole pending, final "
2589,Customer#000002589,"dtR, y9JQWUO6FoJExyp8whOU",27,24-394-451-5404,1215.9424988338344,FURNITURE,counts are slyly beyond the slyly final accounts. quickly final ideas wake. r
2590,Customer#000002590,"8Cw4p1m1gKYVUgomkAq,es1ZtrnmHaO",31,16-950-729-1638,2507.736050681565,AUTOMOBILE,dolites. furiously regular theodolites integrate furiously. bravely bold requests are. furiously
2591,Customer#000002591,4eyqk2zpg4m V JGEtgwNmCq3c,15,25-875-178-1959,7962.386983926107,BUILDING,"es need to affix furiously. ironic, final foxes are against the regular instructions: pinto beans haggle q"
2592,Customer#000002592,c5M1KcH60UZPYsa,9,19-573-345-3305,4329.928013124671,MACHINERY,"se across the dependencies. express, "
2593,Customer#000002593,yvUE7Qy3Ub6uGhPkuEJeOI,44,11-275-121-4443,7873.466637034485,FURNITURE,ts. blithely bold packages sleep 
2594,Customer#000002594,"mpI6pkdnWLZsBbQi4,uUC5Y3TcM9vmRIgZelrQ",14,24-555-630-2261,9105.323583492458,AUTOMOBILE,ly alongside of the carefully ironic deposits. blithely ironic packages are blithely agains
2595,Customer#000002595,AyNzZBvmIDo42JtjP9xzaK3pnvkh Qc0o08ssnvq,9,19-299-247-2444,-476.98096242412146,HOUSEHOLD,eposits; furiously ironic packages accordi
2596,Customer#000002596,"h5iBRMsym,y6LLSQU2DzNftiET qZ",9,19-146-399-4251,9307.117069055203,BUILDING,lar packages haggle theodolites. thinly express deposits 
2597,Customer#000002597,"4K6h0pYH,bg2FS5cYL,qqejhvp7EfTlBjRjeVPkq",1,11-980-134-7627,4244.131947324885,BUILDING," final requests cajole after the ironic, bold instructio"
2598,Customer#000002598,681r22uL452zqk 8By7I9o9enQfx0,16,26-314-406-7725,1557.2300073226904,MACHINERY,across the blithely unusual requests haggle theodo
2599,Customer#000002599,"56K JjC bMcgbXlJA4KI Icu uggsRoviMQm,F",7,17-494-757-5759,9109.405558826516,FURNITURE, according to the slyly bold accounts. 
2600,Customer#000002600,Fo9QgQsDOP28D3zR,33,32-759-858-2984,-619.7939063716175,BUILDING,y along the special requests. blithely regular waters thrash abou
2601,Customer#000002601,kQjHmt2kcec cy3hfMh969u,13,23-562-444-8454,9706.988736223,HOUSEHOLD,"ests? express, express instructions use. blithely fina"
2602,Customer#000002602,x9ukZnNiUM5pBPXyE3epagewVQBPZzxGYD6sMH,7,17-866-269-1165,368.59482571104934,BUILDING," the ironic packages sleep carefully express theodolites. even, final deposits across the even deposits nag after t"
2603,Customer#000002603,PfH0lw8GzD7o,9,19-790-843-5283,7339.921425022766,MACHINERY, theodolites. ironic requests wake. thinly silent 
2604,Customer#000002604,"7xCLYGLCpFU,toJBIPIrJbLIuLok81h IxK ae5Z",30,30-441-755-3094,2469.58955511888,MACHINERY, even deposits haggle. packages i
2605,Customer#000002605,PVdTfF7cfPueJS0MBncE5v4bKfPV64Zg,47,15-901-460-2033,2885.424421116061,FURNITURE,wake carefully. slyly express deposits wake furiously among the fluffily final deposits. pa
2606,Customer#000002606,9mcCK L7rt0SwiYtrbO88DiZS7U d7M,34,20-966-284-8065,-490.933575023099,FURNITURE,rate carefully slyly special pla
2607,Customer#000002607,yHVWD7y1Oe1P,42,31-277-349-9036,1488.007158976929,MACHINERY,ress attainments. furiously regular excu
2608,Customer#000002608,",7fcZHIUn,fUaQtK8U,Q8",48,11-237-758-6141,3922.9047089404517,AUTOMOBILE,tions. slyly ironic waters wa
2609,Customer#000002609,"9ST2x,snyY3s",0,10-374-175-6181,1827.083745374636,MACHINERY,ndencies detect slyly fluffil
2610,Customer#000002610,q10SV05KB1038lzUR8P,46,21-604-451-4462,4765.960964414821,HOUSEHOLD,le blithely final forges. furiously even deposits cajole fluffily even patterns. furious
2611,Customer#000002611,9pTq4gggfKoSqQetn0yJR,16,26-370-660-6154,5986.9720921430835,MACHINERY,osits nag furiously final accounts. silent pack
2612,Customer#000002612,"RluaguNRAJhYXmn,CWxcOC,Ly7",2,12-938-503-7317,8287.765784782714,HOUSEHOLD,jole along the blithely bold 
2613,Customer#000002613, Eayx9GAqjJEwrGy1Er5 ffNtLL,47,15-464-411-8342,1797.695630461053,MACHINERY, haggle against the carefully bold theodolites. quietly regular ideas haggle. pending pinto beans engage sl
2614,Customer#000002614,F602TgKjElSWrZ,34,20-871-886-9220,7980.6420468655115,FURNITURE,nding packages use. blithely regular sheaves doze blithely. fluffi
2615,Customer#000002615,Ax4TI4jbHvaYUaaFuEUQTiMWQvrjez G,40,33-623-834-3089,376.1194495495282,MACHINERY,"ely. carefully pending foxes was furiously special, special "
2616,Customer#000002616,"clyq458DIkXXt4qLyHlbe,n JueoniF",1,11-655-291-2694,291.34916166674554,BUILDING,o the foxes. ironic requests sleep. c
2617,Customer#000002617,UC6I32JjBU62t4WgDe e2pDYbuM3VAt4MPM,27,24-359-633-2713,6323.702818915154,FURNITURE,s deposits sleep. blithely ironic dependencies wake. blithely even theodolites sleep. blithely 
2618,Customer#000002618,ckBLWkfYtn2VZXWWqUGbDgbP,46,21-476-142-5086,7880.087280370441,HOUSEHOLD,"s. furiously express depths boost. regular requests boost furiously. even, unusual deposits cajole blithely. expre"
2619,Customer#000002619,HV0YB82MWw93 9K,37,30-776-366-5869,2685.4511570163286,BUILDING,"ideas wake. fluffily ironic packages hang furiously above the regular, even platelets; packages haggle slyly "
2620,Customer#000002620,HGEouzCcFrNd nBAdsCRjsMxKOvYZdbwA7he5w9v,15,25-207-442-1556,9740.418752886228,BUILDING, pinto beans against the carefully bold requests wake quickly alongside of the final accounts. accounts
2621,Customer#000002621,"q5 gKwc7PBQOyd,H",17,27-938-997-6262,7686.962075297661,FURNITURE,ully regular deposits. slyly ironic requests wake along the depos
2622,Customer#000002622,tDRaTC7UgFbBX7VF6cVXYQA0,8,18-807-487-1074,9666.709872104197,FURNITURE,"s lose blithely ironic, regular packages. regular, final foxes haggle c"
2623,Customer#000002623,"o2uc3AHYz,m 3vYg8YxBwI0XuG",20,30-197-936-4724,4029.3386907661366,MACHINERY,usly? final theodolites are carefully 
2624,Customer#000002624,m h2wQbujQnQOrcf109reW0 o,25,16-469-554-5196,1574.3585845969938,MACHINERY,courts could hang quickly express epitaphs. foxes haggle above the carefully unusual requ
2625,Customer#000002625,85KMCT2D2RIGayG99ozpk85ppHE6i9gJE,17,27-218-645-5219,233.48253584223235,FURNITURE,ven asymptotes. carefully regular packages are blithely. special requests according to the care
2626,Customer#000002626,s0fqxkVVqLWR  IaqibwwOf,49,30-309-437-9265,54.379206945918895,AUTOMOBILE,"usly final orbits are? unusual, ironic accounts are slyly. unusual requests sleep after the ironic,"
2627,Customer#000002627,"PnC4Xlds,v",0,10-813-916-8297,7539.685816222014,FURNITURE,ts. permanently special accounts mold quickly. requests boost slyly bo
2628,Customer#000002628,"NUilehg0nVOkK3K1SW0,BAHCeST2JqKzuTMoGS",34,20-456-773-7693,-564.2528219614624,AUTOMOBILE,ending foxes across the carefully
2629,Customer#000002629,OB JBXz5fghXsYEaClW8PZpDmxMVZct,5,15-253-270-5149,8831.33792829165,HOUSEHOLD,"foxes. even, special theodolites boost. furiously silent packages haggle? furiously "
2630,Customer#000002630,68RstNo6a2B,32,28-135-177-2472,8183.825378474016,FURNITURE,accounts wake. express instructions according to the s
2631,Customer#000002631,9ICLFWFZa6,9,19-113-384-3847,2805.58957808677,FURNITURE,es. furiously pending packages haggle fluffily carefully silent foxes. carefully unusual dependencies boost fu
2632,Customer#000002632,mSo5eI8F4E6Kgl63nWtU84vfyQjOBg4y,35,20-475-741-4234,4862.52146442006,FURNITURE,"al, ironic foxes. packages wake according to the pending"
2633,Customer#000002633,UIv4t5cbA7j1ftOSatj2EKah3p,9,19-245-153-1471,3639.383926707031,BUILDING,"nic deposits print blithely slyly final accounts. special, express accounts are fluffily a"
2634,Customer#000002634,b7ytiiX7E9,16,26-191-682-8920,2685.5984719815024,AUTOMOBILE,doze slyly. furiously pending deposits cajole fluffily carefully pending packages. boldly regular
2635,Customer#000002635,FTM62Dujm2BoblKFY w,12,22-888-883-2475,7228.2930844216235,FURNITURE,the carefully regular accounts breach above 
2636,Customer#000002636,"qdIqRUfpmvtWo0NGsyi4qyjkwzlImP9,NrSC",1,11-968-244-9275,3993.963841435722,BUILDING,arefully regular dependencies. quick
2637,Customer#000002637,TmpTFwt3b0 WQUmljE1LKbg50dtQszn67qEog,12,22-941-606-7227,5443.584098113521,HOUSEHOLD,"unusual accounts. slyly ironic pinto beans nag against the regular, regular requests. slyly p"
2638,Customer#000002638,A1Zvuxjdpt8TZP6i41H3fn9csGqOJUm5x0NIS1LA,49,30-435-915-1603,6644.353732958449,FURNITURE, blithely ironic theodolites 
2639,Customer#000002639,LXH7wSv4I6GG6TAkLOyLcMh559a8Y,21,31-296-111-5448,-1130.3060797347678,FURNITURE,hely at the pending warhorses; blithe
2640,Customer#000002640,yxBr7nLGxxwECEk,17,27-125-968-3750,4693.063281092932,AUTOMOBILE,"he final, even deposits. furiously special pl"
2641,Customer#000002641,"YtWggXoOLdwdo7b0y,BZaGUQMLJMX1Y,EC,6Dn",40,33-687-542-7601,2909.5322345867626,HOUSEHOLD, platelets. regular deposits detect asymptotes. blithely unusual packages nag slyly at the fluf
2642,Customer#000002642,ZFFYipzTg0vSjOhPbcBUgPK9se,28,20-330-305-8843,9382.178247954987,AUTOMOBILE,gle about the busily special theodolites. furiously ironic deposits haggle beside the furiously special accounts. 
2643,Customer#000002643,"5Hy,ajDzJPtZFeJedRSeLN7XGOJtyUy2FI93",26,29-424-835-1463,3063.016146205059,HOUSEHOLD,ly bold ideas affix blithely about the slyly even pinto beans. slyly regular multip
2644,Customer#000002644,ZFFYipzTg0vSjOhPbcBUgPK9se,35,20-330-305-8843,8928.612720024228,AUTOMOBILE,gle about the busily special theodolites. furiously ironic deposits haggle beside the furiously special accounts. 
2645,Customer#000002645,b0UgocSqEW5 gdVbhNT,41,12-427-271-9466,26.1433150615172,BUILDING,"ions. express, ironic instructions sleep furiously ironic ideas. furi"
2646,Customer#000002646,fiW1n6dLSVRkXj7kU1768UI2w1vMxEde5a ,41,12-722-560-7023,1334.1723824700948,FURNITURE,", regular requests kindle slyly furio"
